SECUCODE,REPORT_DATE,SECURITY_NAME_ABBR,REPORT_TYPE,UPDATE_DATE,CURRENCY,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ADVANCE_RECEIVABLES,BOND_PAYABLE,CAPITAL_RESERVE,CIP,CONTRACT_ASSET,CONTRACT_LIAB,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,FIXED_ASSET,GOODWILL,HOLDSALE_ASSET,INTANGIBLE_ASSET,INTEREST_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PREPAID_EXPENSE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_LIAB_1YEAR,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OTHER_COMPRE_INCOME,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,PREDICT_LIAB,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,STAFF_SALARY_PAYABLE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET_NOTFVTPL,UNASSIGN_RPOFIT,USERIGHT_ASSET
SZ000002,1995-12-31,万科A,年报,1996-04-25,CNY,168396148.52,361859358.77,180455926.96,NULL,600245367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70288456.52,NULL,NULL,NULL,NULL,27702130.26,NULL,1222124277.41,NULL,NULL,NULL,53442568.8,NULL,182764159.08,504524626.71,30085334.32,168396148.52,361859358.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91194421.75,288225136.4,647114732.59,17126676.21,287363422.04,120225788.6,3234377489.99,2536897801.26,1746428636.51,1362256804.88,3234377489.99,1872120685.11,697479688.73,125692048.6,394889681.25,NULL,1179492645.8,NULL,4313657.33,NULL
SZ000002,1996-06-30,万科A,中报,1996-08-28,CNY,NULL,NULL,NULL,NULL,600076767.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184236648.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288225136.4,NULL,NULL,291586185.93,NULL,3218677625.2,2535014777.08,1663855501.47,1421385679.43,3218677625.2,1797291945.77,683662848.12,133436444.3,NULL,NULL,1237149031.21,NULL,57914698.6,NULL
SZ000002,1996-12-31,万科A,年报,1997-04-10,CNY,236622366.9,NULL,183392854.01,NULL,600260367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31704764.94,NULL,NULL,NULL,NULL,23609139.42,NULL,1361356458.61,NULL,NULL,NULL,10388138.83,NULL,171890891.32,597858560.26,40500000,236622366.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91284120.58,317047649.4,827856393.59,19542983.17,325498440.32,109783323.13,3466124320.3,2825327516.62,1942609692.22,1505126489.25,3466124320.3,1960997831.05,640796803.68,18388138.83,441247952.94,NULL,1333235597.93,NULL,92339545.54,NULL
SZ000002,1997-06-30,万科A,中报,1997-08-15,CNY,NULL,NULL,NULL,NULL,600260367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177923402.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364604796.4,NULL,NULL,325498440.32,NULL,3621213636.08,2956119755.6,2038118770.75,1576865991.77,3621213636.08,2044347644.31,665093880.48,6228873.56,NULL,NULL,1398942589.41,NULL,110459300.1,NULL
SZ000002,1997-12-31,万科A,年报,1998-04-08,CNY,231735637.91,NULL,312131745.79,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67628613.51,NULL,NULL,NULL,NULL,5698482.54,NULL,1713988281.59,NULL,NULL,NULL,5970079.65,NULL,152927242.2,711664824.74,NULL,231735637.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87664294.17,450857423.4,548372959.11,20669706.4,402641520.32,95782903.04,3959626453,3326961512.98,1966079019.41,1987577353.94,3959626453,1972049099.06,632664940.02,5970079.65,502922405.28,NULL,1834650111.74,NULL,87134700.05,NULL
SZ000002,1998-06-30,万科A,中报,1998-08-14,CNY,295715947.05,274352510.04,308266556.32,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67631841.08,NULL,NULL,NULL,NULL,NULL,NULL,2043032759.72,NULL,NULL,273651655.03,NULL,43183921.06,112362164.85,683387777.7,NULL,295715947.05,274352510.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67828444.19,450857423.4,573796156,17470237.14,402641520.32,89880395.4,3953891568.68,3406784510.1,1925272875.88,2031017133.62,3953891568.68,1922874435.06,547107058.58,-2398440.82,358135646.04,NULL,1918654968.77,NULL,169709364.79,NULL
SZ000002,1998-12-31,万科A,年报,2000-03-30,CNY,371017252.96,247957917.5,222038344.95,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49720056.34,NULL,NULL,NULL,NULL,NULL,NULL,2349936093.6,NULL,NULL,225038700.25,20000000,72193300.44,114292845.86,576515552.09,NULL,371017252.96,247957917.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40944508.24,495943165.4,618723114,22060040.9,503687981.06,82682292.53,4008869718.53,3494241363.1,1916148966.22,2072746241.14,4008869718.53,1936123477.39,514628355.43,19974511.17,390253030.48,NULL,1958453395.28,NULL,64393322.21,NULL
SZ000002,1999-06-30,万科A,中报,1999-08-18,CNY,289945913.23,NULL,263874248.82,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49720056.34,NULL,NULL,NULL,NULL,NULL,NULL,2658693058.11,NULL,NULL,220391759.47,75000000,74796900.26,80462137.88,468010960.13,NULL,289945913.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63783118.04,495943165.4,815007932,23433008.04,503687981.06,63388244.63,4341585969.05,3832600424.16,2111073814.45,2153407081.97,4341585969.05,2188178887.08,508985544.89,77105072.63,393195032.83,NULL,2072944944.09,NULL,178860342.71,NULL
SZ000002,1999-12-31,万科A,年报,2001-03-20,CNY,526054494.54,NULL,222858263.28,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94645791.15,1209600,NULL,NULL,NULL,NULL,NULL,2541901743.74,NULL,NULL,202266621.42,55000000,92014617.95,53280451.87,772831829.15,NULL,526054494.54,NULL,NULL,NULL,NULL,11909232.68,NULL,NULL,NULL,NULL,24807533.06,NULL,39848309.94,545537481,895234400,23957105.12,618259124.56,69374265.77,4494664465.95,3896929870.98,2265107903.99,2146310711.04,4494664465.95,2348353754.91,597734594.97,83245850.92,312728447.11,1209600,2093030259.17,NULL,34724359.41,NULL
SZ000002,2000-06-30,万科A,中报,2000-08-15,CNY,518274866.94,NULL,338972387.08,NULL,1435421964.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94645791.15,NULL,NULL,NULL,NULL,NULL,NULL,2981956708.8,NULL,NULL,106026291.65,95000000,90261084.8,54813754.75,911966043.54,20000000,518274866.94,NULL,NULL,NULL,NULL,12057204.94,NULL,NULL,NULL,NULL,NULL,NULL,17904907.29,630971941,696000000,27091840.2,618259124.56,22099937.6,5045245492.17,4450481911.62,2059943998.12,2887901948.17,5045245492.17,2157343544,594763580.55,97399545.88,316170240.69,NULL,2833088193.42,NULL,149311013.8,NULL
