ts_code,companytype
SZ000001,3
SZ000002,4
SZ000004,4
SZ000005,4
SZ000006,4
SZ000007,4
SZ000008,4
SZ000009,4
SZ000010,4
SZ000011,4
SZ000012,4
SZ000014,4
SZ000016,4
SZ000017,4
SZ000019,4
SZ000020,4
SZ000021,4
SZ000023,4
SZ000025,4
SZ000026,4
SZ000027,4
SZ000028,4
SZ000029,4
SZ000030,4
SZ000031,4
SZ000032,4
SZ000034,4
SZ000035,4
SZ000036,4
SZ000037,4
SZ000038,4
SZ000039,4
SZ000040,4
SZ000042,4
SZ000045,4
SZ000046,4
SZ000048,4
SZ000049,4
SZ000050,4
SZ000055,4
SZ000056,4
SZ000058,4
SZ000059,4
SZ000060,4
SZ000061,4
SZ000062,4
SZ000063,4
SZ000065,4
SZ000066,4
SZ000068,4
SZ000069,4
SZ000070,4
SZ000078,4
SZ000088,4
SZ000089,4
SZ000090,4
SZ000096,4
SZ000099,4
SZ000100,4
SZ000150,4
SZ000151,4
SZ000153,4
SZ000155,4
SZ000156,4
SZ000157,4
SZ000158,4
SZ000159,4
SZ000166,1
SZ000301,4
SZ000333,4
SZ000338,4
SZ000400,4
SZ000401,4
SZ000402,4
SZ000403,4
SZ000404,4
SZ000407,4
SZ000408,4
SZ000409,4
SZ000410,4
SZ000411,4
SZ000413,4
SZ000415,4
SZ000416,4
SZ000417,4
SZ000419,4
SZ000420,4
SZ000421,4
SZ000422,4
SZ000423,4
SZ000425,4
SZ000426,4
SZ000428,4
SZ000429,4
SZ000430,4
SZ000488,4
SZ000498,4
SZ000501,4
SZ000502,4
SZ000503,4
SZ000504,4
SZ000505,4
SZ000506,4
SZ000507,4
SZ000509,4
SZ000510,4
SZ000513,4
SZ000514,4
SZ000516,4
SZ000517,4
SZ000518,4
SZ000519,4
SZ000520,4
SZ000521,4
SZ000523,4
SZ000524,4
SZ000525,4
SZ000526,4
SZ000528,4
SZ000529,4
SZ000530,4
SZ000531,4
SZ000532,4
SZ000533,4
SZ000534,4
SZ000536,4
SZ000537,4
SZ000538,4
SZ000539,4
SZ000540,4
SZ000541,4
SZ000543,4
SZ000544,4
SZ000545,4
SZ000546,4
SZ000547,4
SZ000548,4
SZ000550,4
SZ000551,4
SZ000552,4
SZ000553,4
SZ000554,4
SZ000555,4
SZ000557,4
SZ000558,4
SZ000559,4
SZ000560,4
SZ000561,4
SZ000563,3
SZ000564,4
SZ000565,4
SZ000566,4
SZ000567,4
SZ000568,4
SZ000570,4
SZ000571,4
SZ000572,4
SZ000573,4
SZ000576,4
SZ000581,4
SZ000582,4
SZ000584,4
SZ000585,4
SZ000586,4
SZ000587,4
SZ000589,4
SZ000590,4
SZ000591,4
SZ000592,4
SZ000593,4
SZ000595,4
SZ000596,4
SZ000597,4
SZ000598,4
SZ000599,4
SZ000600,4
SZ000601,4
SZ000603,4
SZ000605,4
SZ000606,4
SZ000607,4
SZ000608,4
SZ000609,4
SZ000610,4
SZ000611,4
SZ000612,4
SZ000613,4
SZ000615,4
SZ000616,4
SZ000617,4
SZ000619,4
SZ000620,4
SZ000622,4
SZ000623,4
SZ000625,4
SZ000626,4
SZ000627,2
SZ000628,4
SZ000629,4
SZ000630,4
SZ000631,4
SZ000632,4
SZ000633,4
SZ000635,4
SZ000636,4
SZ000637,4
SZ000638,4
SZ000639,4
SZ000650,4
SZ000651,4
SZ000652,4
SZ000655,4
SZ000656,4
SZ000657,4
SZ000659,4
SZ000661,4
SZ000662,4
SZ000663,4
SZ000665,4
SZ000666,4
SZ000667,4
SZ000668,4
SZ000669,4
SZ000671,4
SZ000672,4
SZ000673,4
SZ000676,4
SZ000677,4
SZ000678,4
SZ000679,4
SZ000680,4
SZ000681,4
SZ000682,4
SZ000683,4
SZ000685,4
SZ000686,1
SZ000687,4
SZ000688,4
SZ000690,4
SZ000691,4
SZ000692,4
SZ000695,4
SZ000697,4
SZ000698,4
SZ000700,4
SZ000701,4
SZ000702,4
SZ000703,4
SZ000705,4
SZ000707,4
SZ000708,4
SZ000709,4
SZ000710,4
SZ000711,4
SZ000712,1
SZ000713,4
SZ000715,4
SZ000716,4
SZ000717,4
SZ000718,4
SZ000719,4
SZ000720,4
SZ000721,4
SZ000722,4
SZ000723,4
SZ000725,4
SZ000726,4
SZ000727,4
SZ000728,1
SZ000729,4
SZ000731,4
SZ000732,4
SZ000733,4
SZ000735,4
SZ000736,4
SZ000737,4
SZ000738,4
SZ000739,4
SZ000750,1
SZ000751,4
SZ000752,4
SZ000753,4
SZ000755,4
SZ000756,4
SZ000757,4
SZ000758,4
SZ000759,4
SZ000761,4
SZ000762,4
SZ000766,4
SZ000767,4
SZ000768,4
SZ000776,1
SZ000777,4
SZ000778,4
SZ000779,4
SZ000780,4
SZ000782,4
SZ000783,1
SZ000785,4
SZ000786,4
SZ000788,4
SZ000789,4
SZ000790,4
SZ000791,4
SZ000793,4
SZ000795,4
SZ000796,4
SZ000797,4
SZ000798,4
SZ000799,4
SZ000800,4
SZ000801,4
SZ000802,4
SZ000803,4
SZ000806,4
SZ000807,4
SZ000809,4
SZ000810,4
SZ000811,4
SZ000812,4
SZ000813,4
SZ000815,4
SZ000816,4
SZ000818,4
SZ000819,4
SZ000820,4
SZ000821,4
SZ000822,4
SZ000823,4
SZ000825,4
SZ000826,4
SZ000828,4
SZ000829,4
SZ000830,4
SZ000831,4
SZ000833,4
SZ000835,4
SZ000836,4
SZ000837,4
SZ000838,4
SZ000839,4
SZ000848,4
SZ000850,4
SZ000851,4
SZ000852,4
SZ000856,4
SZ000858,4
SZ000859,4
SZ000860,4
