table,column,name
income,SECUCODE,股票代码
income,SECURITY_NAME_ABBR,股票名字
income,REPORT_DATE,报告时间
income,REPORT_TYPE,报告类型
income,UPDATE_DATE,更新时间
income,CURRENCY,币种
income,TOTAL_OPERATE_INCOME,营业总收入
income,OPERATE_INCOME,营业收入
income,TOTAL_OPERATE_COST,营业总成本
income,OPERATE_COST,营业成本
income,RESEARCH_EXPENSE,研发费用
income,OPERATE_TAX_ADD,营业税金及附加
income,SALE_EXPENSE,销售费用
income,MANAGE_EXPENSE,管理费用
income,FINANCE_EXPENSE,财务费用
income,FE_INTEREST_EXPENSE,利息费用
income,FE_INTEREST_INCOME,利息收入
income,FAIRVALUE_CHANGE_INCOME,公允价值变动收益
income,INVEST_INCOME,投资收益
income,INVEST_JOINT_INCOME,对联营企业和合营企业的投资收益
income,ASSET_DISPOSAL_INCOME,资产处置收益
income,ASSET_IMPAIRMENT_INCOME,资产减值损失(新)
income,CREDIT_IMPAIRMENT_INCOME,信用减值损失(新)
income,OPERATE_PROFIT,营业利润
income,NONBUSINESS_INCOME,营业外收入
income,NONBUSINESS_EXPENSE,营业外支出
income,TOTAL_PROFIT,利润总额
income,INCOME_TAX,所得税
income,NETPROFIT,净利润
income,CONTINUED_NETPROFIT,持续经营净利润
income,PARENT_NETPROFIT,归属于母公司股东的净利润
income,MINORITY_INTEREST,少数股东损益
income,DEDUCT_PARENT_NETPROFIT,扣除非经常性损益后的净利润
income,BASIC_EPS,基本每股收益
income,DILUTED_EPS,稀释每股收益
income,OTHER_COMPRE_INCOME,其他综合收益
income,PARENT_OCI,归属于母公司股东的其他综合收益
income,MINORITY_OCI,归属于少数股东的其他综合收益
income,TOTAL_COMPRE_INCOME,综合收益总额
income,PARENT_TCI,归属于母公司股东的综合收益总额
income,MINORITY_TCI,归属于少数股东的综合收益总额
balance,SECUCODE,股票代码
balance,SECURITY_NAME_ABBR,股票名字
balance,REPORT_DATE,报告时间
balance,REPORT_TYPE,报告类型
balance,UPDATE_DATE,更新时间
balance,CURRENCY,币种
balance,ACCOUNTS_PAYABLE,应付账款
balance,ACCOUNTS_RECE,应收账款
balance,ADVANCE_RECEIVABLES,预收款项
balance,BOND_PAYABLE,应付债券
balance,CAPITAL_RESERVE,资本公积
balance,CIP,在建工程
balance,CONTRACT_ASSET,合同资产
balance,CONTRACT_LIAB,合同负债
balance,DEFER_TAX_ASSET,递延所得税资产
balance,DEFER_TAX_LIAB,递延所得税负债
balance,DERIVE_FINASSET,衍生金融资产
balance,DERIVE_FINLIAB,衍生金融负债
balance,DIVIDEND_PAYABLE,应付股利
balance,DIVIDEND_RECE,应收股利
balance,FIXED_ASSET,固定资产
balance,GOODWILL,商誉
balance,HOLDSALE_ASSET,持有待售资产
