income 表

SECUCODE    股票代码
SECURITY_NAME_ABBR  股票名字
REPORT_DATE 报告时间
REPORT_TYPE 报告类型
UPDATE_DATE 更新时间
CURRENCY    币种
TOTAL_OPERATE_INCOME    营业总收入
OPERATE_INCOME    营业收入
TOTAL_OPERATE_COST  营业总成本
OPERATE_COST  营业成本
RESEARCH_EXPENSE    研发费用
OPERATE_TAX_ADD 营业税金及附加
SALE_EXPENSE    销售费用
MANAGE_EXPENSE  管理费用
FINANCE_EXPENSE 财务费用
FE_INTEREST_EXPENSE 利息费用
FE_INTEREST_INCOME  利息收入
FAIRVALUE_CHANGE_INCOME 公允价值变动收益
INVEST_INCOME   投资收益
INVEST_JOINT_INCOME 对联营企业和合营企业的投资收益
ASSET_DISPOSAL_INCOME   资产处置收益
ASSET_IMPAIRMENT_INCOME 资产减值损失(新)
CREDIT_IMPAIRMENT_INCOME    信用减值损失(新)
OPERATE_PROFIT  营业利润
NONBUSINESS_INCOME  营业外收入
NONBUSINESS_EXPENSE 营业外支出
TOTAL_PROFIT    利润总额
INCOME_TAX  所得税
NETPROFIT   净利润
CONTINUED_NETPROFIT 持续经营净利润
PARENT_NETPROFIT    归属于母公司股东的净利润
MINORITY_INTEREST   少数股东损益
DEDUCT_PARENT_NETPROFIT 扣除非经常性损益后的净利润
BASIC_EPS   基本每股收益
DILUTED_EPS 稀释每股收益
OTHER_COMPRE_INCOME 其他综合收益
PARENT_OCI  归属于母公司股东的其他综合收益
MINORITY_OCI    归属于少数股东的其他综合收益
TOTAL_COMPRE_INCOME 综合收益总额
PARENT_TCI  归属于母公司股东的综合收益总额
MINORITY_TCI    归属于少数股东的综合收益总额
