ts_code,start_date,end_date
517300.SH,20210125,20210311
159857.SZ,20210125,20210311
516080.SH,20210120,20210311
517080.SH,20210120,20210311
159839.SZ,20210118,20210311
159850.SZ,20210125,20210311
159852.SZ,20210125,20210311
516800.SH,20210111,20210311
159841.SZ,20210118,20210311
513330.SH,20210118,20210311
159843.SZ,20210106,20210311
517050.SH,20210119,20210311
517200.SH,20210119,20210311
159856.SZ,20210119,20210311
516160.SH,20210114,20210311
516050.SH,20210104,20210311
159837.SZ,20201228,20210311
515400.SH,20201201,20210311
516880.SH,20201229,20210311
515170.SH,20201214,20210311
515920.SH,20201214,20210311
513550.SH,20201222,20210311
515250.SH,20201201,20210311
159828.SZ,20201207,20210311
515710.SH,20201214,20210311
515290.SH,20201207,20210311
159824.SZ,20201123,20210311
159827.SZ,20201123,20210311
159825.SZ,20201123,20210311
515790.SH,20201201,20210311
515120.SH,20201116,20210311
515320.SH,20201102,20210311
510860.SH,20201019,20210311
513300.SH,20201014,20210311
501206.SH,20200925,20210311
501207.SH,20200925,20210311
501208.SH,20200925,20210311
501205.SH,20200925,20210311
159821.SZ,20200914,20210311
159822.SZ,20200911,20210311
501203.SH,20200925,20210311
588000.SH,20200922,20210311
588080.SH,20200922,20210311
588090.SH,20200922,20210311
511000.SH,20200622,20210311
588050.SH,20200922,20210311
159823.SZ,20200914,20210311
515530.SH,20200824,20210311
515760.SH,20200610,20210311
510370.SH,20200824,20210311
518890.SH,20200717,20210311
502056.SH,20150731,20210311
510760.SH,20200810,20210311
515500.SH,20200506,20210311
161121.SZ,20200807,20210311
159820.SZ,20200720,20210311
518860.SH,20200713,20210311
159808.SZ,20200430,20210311
506001.SH,20200724,20210311
511360.SH,20200430,20210311
159815.SZ,20200428,20210311
513990.SH,20200428,20210311
159816.SZ,20200430,20210311
506003.SH,20200724,20210311
506005.SH,20200724,20210311
506002.SH,20200724,20210311
506006.SH,20200724,20210311
506000.SH,20200724,20210311
512350.SH,20200420,20210311
159819.SZ,20200720,20210311
160325.SZ,20200716,20210311
501202.SH,20200618,20210311
515260.SH,20200701,20210311
166027.SZ,20200707,20210311
515610.SH,20200430,20210311
160926.SZ,20200707,20210311
161040.SZ,20200707,20210311
159999.SZ,20200608,20210311
511180.SH,20200508,20210311
518600.SH,20200618,20210311
518680.SH,20200611,20210311
510570.SH,20200506,20210311
512320.SH,20200601,20210311
515560.SH,20200428,20210311
159814.SZ,20200525,20210311
511050.SH,20200316,20210311
159810.SZ,20200319,20210311
515830.SH,20200327,20210311
513080.SH,20200330,20210311
515100.SH,20200427,20210311
501200.SH,20200317,20210311
515820.SH,20200327,20210311
515770.SH,20200413,20210311
510690.SH,20200302,20210311
159809.SZ,20200330,20210311
167508.SZ,20200401,20210311
515190.SH,20200330,20210311
515780.SH,20200320,20210311
159988.SZ,20200224,20210311
159812.SZ,20200407,20210311
159803.SZ,20200122,20210311
518660.SH,20200323,20210311
515960.SH,20200325,20210311
159813.SZ,20200325,20210311
515670.SH,20200320,20210311
515620.SH,20200316,20210311
515930.SH,20200323,20210311
518850.SH,20200327,20210311
501099.SH,20200305,20210311
510200.SH,20200316,20210311
168701.SZ,20200302,20210311
515130.SH,20200309,20210311
515280.SH,20200311,20210311
164508.SZ,20200327,20210311
159811.SZ,20200316,20210311
501098.SH,20200305,20210311
501097.SH,20200312,20210311
501096.SH,20200225,20210311
159998.SZ,20200302,20210311
160527.SZ,20200309,20210311
515890.SH,20200224,20210311
159991.SZ,20200302,20210311
159992.SZ,20200302,20210311
515690.SH,20200224,20210311
515510.SH,20200203,20210311
515950.SH,20200121,20210311
159807.SZ,20200309,20210311
513090.SH,20200224,20210311
501095.SH,20200227,20210311
159806.SZ,20200302,20210311
159805.SZ,20200217,20210311
159978.SZ,20200120,20210311
511380.SH,20200210,20210311
501093.SH,20200217,20210311
159804.SZ,20200219,20210311
515630.SH,20200113,20210311
159996.SZ,20200210,20210311
159997.SZ,20200210,20210311
159983.SZ,20200204,20210311
501092.SH,20200217,20210311
515030.SH,20200203,20210311
502000.SH,20200219,20210311
169107.SZ,20200207,20210311
515160.SH,20191209,20210311
515210.SH,20200102,20210311
159994.SZ,20191227,20210311
515850.SH,20191016,20210311
501091.SH,20191219,20210311
515220.SH,20200102,20210311
159801.SZ,20200106,20210311
159995.SZ,20191224,20210311
515090.SH,20191216,20210311
515570.SH,20191223,20210311
515450.SH,20191223,20210311
515700.SH,20191209,20210311
515380.SH,20191115,20210311
159993.SZ,20191209,20210311
515350.SH,20191021,20210311
515980.SH,20191209,20210311
501090.SH,20191008,20210311
512730.SH,20191008,20210311
159970.SZ,20191014,20210311
159986.SZ,20190923,20210311
161837.SZ,20191204,20210311
159979.SZ,20190909,20210311
159981.SZ,20191111,20210311
515390.SH,20191028,20210311
515070.SH,20191121,20210311
159990.SZ,20191118,20210311
167506.SZ,20191111,20210311
515870.SH,20191104,20210311
515330.SH,20191104,20210311
515310.SH,20190927,20210311
501089.SH,20191008,20210311
159984.SZ,20190909,20210311
515080.SH,20191021,20210311
515060.SH,20191101,20210311
515180.SH,20191030,20210311
515660.SH,20190828,20210311
159982.SZ,20190909,20210311
515750.SH,20191015,20210311
515550.SH,20190903,20210311
515590.SH,20191028,20210311
511060.SH,20190801,20210311
159975.SZ,20190826,20210311
515110.SH,20190911,20210311
166107.SZ,20190923,20210311
515150.SH,20190911,20210311
162216.SZ,20191106,20210311
515990.SH,20190911,20210311
159976.SZ,20190819,20210311
159987.SZ,20191021,20210311
515200.SH,20190902,20210311
515020.SH,20190909,20210311
159980.SZ,20190903,20210311
510530.SH,20190718,20210311
515650.SH,20190812,20210311
502020.SH,20191014,20210311
515800.SH,20190715,20210311
515810.SH,20190916,20210311
515580.SH,20190909,20210311
167302.SZ,20190826,20210311
515520.SH,20190819,20210311
515860.SH,20190902,20210311
159985.SZ,20190906,20210311
515360.SH,20190801,20210311
512970.SH,20190617,20210311
161118.SZ,20190920,20210311
159974.SZ,20190812,20210311
515600.SH,20190812,20210311
515680.SH,20190812,20210311
515900.SH,20190812,20210311
515010.SH,20190819,20210311
515050.SH,20190830,20210311
159977.SZ,20190826,20210311
510100.SH,20190610,20210311
501088.SH,20190805,20210311
501087.SH,20190826,20210311
159972.SZ,20190708,20210311
512530.SH,20190729,20210311
501086.SH,20190719,20210311
515880.SH,20190722,20210311
515300.SH,20190701,20210311
512190.SH,20190626,20210311
159968.SZ,20190701,20210311
512650.SH,20190520,20210311
512710.SH,20190524,20210311
515000.SH,20190704,20210311
501079.SH,20190624,20210311
161729.SZ,20190603,20210311
159973.SZ,20190617,20210311
512930.SH,20190513,20210311
501085.SH,20190624,20210311
501080.SH,20190624,20210311
512720.SH,20190603,20210311
501083.SH,20190624,20210311
512670.SH,20190610,20210311
159969.SZ,20190506,20210311
501081.SH,20190624,20210311
501082.SH,20190624,20210311
160645.SZ,20190430,20210311
159967.SZ,20190506,20210311
159966.SZ,20190506,20210311
513800.SH,20190528,20210311
513880.SH,20190528,20210311
501075.SH,20190605,20210311
513000.SH,20190528,20210311
513520.SH,20190528,20210311
501073.SH,20190605,20210311
159971.SZ,20190509,20210311
501078.SH,20190605,20210311
501077.SH,20190605,20210311
501076.SH,20190605,20210311
501072.SH,20190408,20210311
160526.SZ,20190507,20210311
512910.SH,20190408,20210311
512750.SH,20190408,20210311
510350.SH,20190211,20210311
512170.SH,20190422,20210311
512760.SH,20190422,20210311
161029.SZ,20190510,20210311
512480.SH,20190422,20210311
166025.SZ,20190415,20210311
510890.SH,20190115,20210311
512290.SH,20190325,20210311
512690.SH,20190311,20210311
501071.SH,20190225,20210311
161912.SZ,20190218,20210311
160925.SZ,20190218,20210311
159965.SZ,20181212,20210311
512380.SH,20190102,20210311
159964.SZ,20190218,20210311
159963.SZ,20181130,20210311
512270.SH,20181206,20210311
159962.SZ,20181126,20210311
501063.SH,20181219,20210311
501070.SH,20181228,20210311
512590.SH,20190110,20210311
501069.SH,20181126,20210311
501311.SH,20181128,20210311
501064.SH,20181210,20210311
511030.SH,20181210,20210311
511020.SH,20181203,20210311
512150.SH,20181119,20210311
512890.SH,20181121,20210311
512870.SH,20181102,20210311
513680.SH,20181119,20210311
510850.SH,20181105,20210311
501065.SH,20180906,20210311
501067.SH,20181101,20210311
501068.SH,20181101,20210311
512260.SH,20181018,20210311
510550.SH,20181108,20210311
512920.SH,20180926,20210311
512040.SH,20181010,20210311
501309.SH,20180822,20210311
501066.SH,20181023,20210311
159961.SZ,20181015,20210311
161132.SZ,20180907,20210311
501310.SH,20180827,20210311
512820.SH,20180717,20210311
159959.SZ,20180827,20210311
512960.SH,20180827,20210311
512950.SH,20180827,20210311
511270.SH,20180628,20210311
512860.SH,20180801,20210311
159960.SZ,20180907,20210311
501062.SH,20180806,20210311
510600.SH,20180625,20210311
501061.SH,20180723,20210311
501060.SH,20180723,20210311
160726.SZ,20180709,20210311
512770.SH,20180504,20210311
501059.SH,20180521,20210311
501189.SH,20180611,20210311
161728.SZ,20180611,20210311
501188.SH,20180611,20210311
160142.SZ,20180611,20210311
161131.SZ,20180611,20210311
501186.SH,20180611,20210311
164824.SZ,20180507,20210311
512360.SH,20180502,20210311
512390.SH,20180521,20210311
161039.SZ,20180503,20210311
501058.SH,20180507,20210311
501057.SH,20180507,20210311
512090.SH,20180423,20210311
511280.SH,20180124,20210311
513900.SH,20180409,20210311
512280.SH,20180410,20210311
512520.SH,20180330,20210311
512780.SH,20180409,20210311
512180.SH,20180330,20210311
501307.SH,20180226,20210311
512160.SH,20180319,20210311
162416.SZ,20180205,20210311
510590.SH,20180305,20210311
169106.SZ,20180315,20210311
511310.SH,20180108,20210311
159954.SZ,20171130,20210311
159956.SZ,20180108,20210311
501054.SH,20180123,20210311
163417.SZ,20180116,20210311
510380.SH,20171013,20210311
512980.SH,20171127,20210311
510390.SH,20171204,20210311
159958.SZ,20171121,20210311
510800.SH,20171127,20210311
