,ts_code,ann_date,end_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
0,000010.OF,20210313,20210312,1.0,,,,,13394.6,1
1,000010.OF,20210312,20210311,1.0,,,,,13393.6594,1
2,000010.OF,20210311,20210310,1.0,,,,,13392.7297,1
3,000010.OF,20210310,20210309,1.0,,,,,13391.7984,1
4,000010.OF,20210309,20210308,1.0,,,,,13390.906,1
5,000010.OF,20210309,20210307,1.0,,,,,13389.9691,0
6,000010.OF,20210306,20210305,1.0,,,,,13388.0762,1
7,000010.OF,20210305,20210304,1.0,,,,,13387.1605,1
8,000010.OF,20210304,20210303,1.0,,,,,13386.2276,1
9,000010.OF,20210303,20210302,1.0,,,,,13385.2644,1
10,000010.OF,20210302,20210301,1.0,,,,,13382.4793,1
11,000010.OF,20210302,20210301,1.0,,,,,13384.3353,1
12,000010.OF,20210302,20210228,1.0,,,,,13383.4215,0
13,000010.OF,20210227,20210226,1.0,,,,,13381.5656,1
14,000010.OF,20210226,20210225,1.0,,,,,13380.6371,1
15,000010.OF,20210225,20210224,1.0,,,,,13379.7152,1
16,000010.OF,20210224,20210223,1.0,,,,,13378.7445,1
17,000010.OF,20210223,20210222,1.0,,,,,13377.8488,1
18,000010.OF,20210223,20210221,1.0,,,,,13376.9448,1
19,000010.OF,20210220,20210219,1.0,,,,,13375.1432,1
20,000010.OF,20210219,20210218,1.0,,,,,13374.1944,1
21,000010.OF,20210219,20210217,1.0,,,,,13373.2773,0
22,000010.OF,20210211,20210210,1.0,,,,,13366.5376,1
23,000010.OF,20210210,20210209,1.0,,,,,13365.5678,1
24,000010.OF,20210209,20210208,1.0,,,,,13364.6232,1
25,000010.OF,20210209,20210207,1.0,,,,,13363.6507,0
26,000010.OF,20210206,20210205,1.0,,,,,13361.7209,1
27,000010.OF,20210205,20210204,1.0,,,,,13360.7289,1
28,000010.OF,20210204,20210203,1.0,,,,,13359.733,1
29,000010.OF,20210203,20210202,1.0,,,,,13358.6596,1
30,000010.OF,20210202,20210201,1.0,,,,,13357.5456,1
31,000010.OF,20210202,20210131,1.0,,,,,13356.4517,0
32,000010.OF,20210130,20210129,1.0,,,,,13354.2356,1
33,000010.OF,20210129,20210128,1.0,,,,,13353.1321,1
34,000010.OF,20210128,20210127,1.0,,,,,13351.9998,1
35,000010.OF,20210127,20210126,1.0,,,,,13350.8469,1
36,000010.OF,20210126,20210125,1.0,,,,,13349.8807,1
37,000010.OF,20210126,20210124,1.0,,,,,13348.9131,0
38,000010.OF,20210123,20210122,1.0,,,,,13346.9836,1
39,000010.OF,20210122,20210121,1.0,,,,,13346.0193,1
40,000010.OF,20210121,20210120,1.0,,,,,13345.0539,1
41,000010.OF,20210120,20210119,1.0,,,,,13344.1058,1
42,000010.OF,20210119,20210118,1.0,,,,,13343.2083,1
43,000010.OF,20210119,20210117,1.0,,,,,13342.2986,1
44,000010.OF,20210116,20210115,1.0,,,,,13340.4901,1
45,000010.OF,20210115,20210114,1.0,,,,,13339.6139,1
46,000010.OF,20210114,20210113,1.0,,,,,13338.7065,1
47,000010.OF,20210113,20210112,1.0,,,,,13337.7816,1
48,000010.OF,20210112,20210111,1.0,,,,,13336.8554,0
49,000010.OF,20210112,20210110,1.0,,,,,13335.8476,0
50,000010.OF,20210109,20210108,1.0,,,,,13333.8253,1
51,000010.OF,20210108,20210107,1.0,,,,,13332.817,1
52,000010.OF,20210107,20210106,1.0,,,,,13331.7862,1
53,000010.OF,20210106,20210105,1.0,,,,,13330.7306,1
54,000010.OF,20210105,20210104,1.0,,,,,13329.7002,0
55,000010.OF,20210105,20210103,1.0,,,,,13328.7476,1
56,000010.OF,20210101,20201231,1.0,,,8903452614.72,,13325.6352,1
57,000010.OF,20201231,20201230,1.0,,,,,13324.5582,1
58,000010.OF,20201230,20201229,1.0,,,,,13323.4875,1
59,000010.OF,20201229,20201228,1.0,,,,,13322.3082,1
60,000010.OF,20201229,20201227,1.0,,,,,13321.1889,1
61,000010.OF,20201226,20201225,1.0,,,,,13319.0406,1
62,000010.OF,20201225,20201224,1.0,,,,,13317.9701,1
63,000010.OF,20201224,20201223,1.0,,,,,13316.8971,1
64,000010.OF,20201223,20201222,1.0,,,,,13315.8861,1
65,000010.OF,20201222,20201221,1.0,,,,,13314.9,1
66,000010.OF,20201222,20201220,1.0,,,,,13313.9288,1
67,000010.OF,20201219,20201218,1.0,,,,,13312.0029,1
68,000010.OF,20201218,20201217,1.0,,,,,13311.0484,1
69,000010.OF,20201217,20201216,1.0,,,,,13310.0688,1
70,000010.OF,20201216,20201215,1.0,,,,,13309.0458,1
71,000010.OF,20201215,20201214,1.0,,,,,13308.0658,1
72,000010.OF,20201215,20201213,1.0,,,,,13307.0637,0
73,000010.OF,20201212,20201211,1.0,,,,,13305.0927,1
74,000010.OF,20201211,20201210,1.0,,,,,13304.1079,1
75,000010.OF,20201210,20201209,1.0,,,,,13303.097,0
76,000010.OF,20201209,20201208,1.0,,,,,13302.1,1
77,000010.OF,20201208,20201207,1.0,,,,,13301.1358,1
78,000010.OF,20201208,20201206,1.0,,,,,13300.1761,1
79,000010.OF,20201205,20201204,1.0,,,,,13298.2319,1
80,000010.OF,20201204,20201203,1.0,,,,,13297.2725,1
81,000010.OF,20201203,20201202,1.0,,,,,13296.3171,0
82,000010.OF,20201202,20201201,1.0,,,,,13295.3902,1
83,000010.OF,20201201,20201130,1.0,,,,,13294.3794,1
84,000010.OF,20201201,20201129,1.0,,,,,13293.5725,1
85,000010.OF,20201128,20201127,1.0,,,,,13291.609,1
86,000010.OF,20201127,20201126,1.0,,,,,13290.7734,1
87,000010.OF,20201126,20201125,1.0,,,,,13289.9321,1
88,000010.OF,20201125,20201124,1.0,,,,,13289.1055,1
89,000010.OF,20201124,20201123,1.0,,,,,13288.2263,1
90,000010.OF,20201124,20201122,1.0,,,,,13287.35,1
91,000010.OF,20201121,20201120,1.0,,,,,13285.5296,1
92,000010.OF,20201120,20201119,1.0,,,,,13284.6899,1
93,000010.OF,20201119,20201118,1.0,,,,,13283.8514,0
94,000010.OF,20201118,20201117,1.0,,,,,13283.0129,1
95,000010.OF,20201117,20201116,1.0,,,,,13282.2163,1
96,000010.OF,20201117,20201115,1.0,,,,,13281.2999,1
97,000010.OF,20201114,20201113,1.0,,,,,13279.5177,1
98,000010.OF,20201113,20201112,1.0,,,,,13278.6795,1
99,000010.OF,20201112,20201111,1.0,,,,,13277.7879,1
100,000010.OF,20201111,20201110,1.0,,,,,13276.9241,1
101,000010.OF,20201110,20201109,1.0,,,,,13276.0636,1
102,000010.OF,20201110,20201108,1.0,,,,,13275.2063,1
103,000010.OF,20201107,20201106,1.0,,,,,13273.4704,1
104,000010.OF,20201106,20201105,1.0,,,,,13272.6258,1
105,000010.OF,20201105,20201104,1.0,,,,,13271.7873,1
106,000010.OF,20201104,20201103,1.0,,,,,13270.9662,1
107,000010.OF,20201103,20201102,1.0,,,,,13270.0994,1
108,000010.OF,20201103,20201101,1.0,,,,,13269.4291,1
109,000010.OF,20201031,20201030,1.0,,,,,13267.5432,0
110,000010.OF,20201030,20201029,1.0,,,,,13266.6745,1
111,000010.OF,20201029,20201028,1.0,,,,,13265.8794,1
112,000010.OF,20201028,20201027,1.0,,,,,13264.9819,1
113,000010.OF,20201027,20201026,1.0,,,,,13264.1286,1
114,000010.OF,20201027,20201025,1.0,,,,,13263.2792,1
115,000010.OF,20201024,20201023,1.0,,,,,13261.5841,1
116,000010.OF,20201023,20201022,1.0,,,,,13260.7288,1
117,000010.OF,20201022,20201021,1.0,,,,,13259.9094,1
118,000010.OF,20201021,20201020,1.0,,,,,13259.0609,1
119,000010.OF,20201020,20201019,1.0,,,,,13258.2347,1
120,000010.OF,20201020,20201018,1.0,,,,,13257.4335,0
121,000010.OF,20201017,20201016,1.0,,,,,13255.8057,1
122,000010.OF,20201016,20201015,1.0,,,,,13255.078,1
123,000010.OF,20201015,20201014,1.0,,,,,13254.4098,1
124,000010.OF,20201014,20201013,1.0,,,,,13253.5188,1
125,000010.OF,20201013,20201012,1.0,,,,,13252.7111,1
126,000010.OF,20201013,20201011,1.0,,,,,13251.8693,1
127,000010.OF,20201010,20201009,1.0,,,,,13250.008,1
128,000010.OF,20201010,20201008,1.0,,,,,13249.044,1
129,000010.OF,20201001,20200930,1.0,,,11863707850.46,,13241.62,1
130,000010.OF,20200930,20200929,1.0,,,,,13240.6918,1
131,000010.OF,20200929,20200928,1.0,,,,,13239.6824,1
132,000010.OF,20200929,20200927,1.0,,,,,13238.8026,1
133,000010.OF,20200926,20200925,1.0,,,,,13237.127,1
134,000010.OF,20200925,20200924,1.0,,,,,13236.0828,1
135,000010.OF,20200924,20200923,1.0,,,,,13235.2507,1
136,000010.OF,20200923,20200922,1.0,,,,,13234.4961,1
137,000010.OF,20200922,20200921,1.0,,,,,13233.6733,1
138,000010.OF,20200922,20200920,1.0,,,,,13232.8603,1
