ts_code,ann_date,symbol,end_date,mkv,amount,stk_mkv_ratio,stk_float_ratio
001753.OF,20210122,300750.SZ,20201231,25911918.0,73800.0,9.87,0.01
001753.OF,20210122,300450.SZ,20201231,19342897.0,230300.0,7.36,0.03
001753.OF,20210122,601012.SH,20201231,16070460.0,174300.0,6.12,0.0
001753.OF,20210122,603678.SH,20201231,13946670.0,192900.0,5.31,0.04
001753.OF,20210122,000547.SZ,20201231,13843500.0,503400.0,5.27,0.04
001753.OF,20210122,600438.SH,20201231,13753832.0,357800.0,5.24,0.01
001753.OF,20210122,688598.SH,20201231,13145065.84,60778.0,5.0,0.32
001753.OF,20210122,300274.SZ,20201231,12952576.0,179200.0,4.93,0.02
001753.OF,20210122,603799.SH,20201231,12307360.0,155200.0,4.69,0.01
001753.OF,20210122,300073.SZ,20201231,11750820.0,181200.0,4.47,0.04
001753.OF,20201028,601012.SH,20200930,7591012.0,101200.0,10.6,0.0
001753.OF,20201028,600438.SH,20200930,6453624.0,242800.0,9.01,0.01
001753.OF,20201028,300207.SZ,20200930,6273122.94,231566.0,8.76,0.02
001753.OF,20201028,300750.SZ,20200930,5292760.0,25300.0,7.39,0.0
001753.OF,20201028,603659.SH,20200930,5168884.0,47600.0,7.22,0.02
001753.OF,20201028,002594.SZ,20200930,4905328.0,42200.0,6.85,0.0
001753.OF,20201028,300274.SZ,20200930,4274695.0,155500.0,5.97,0.01
001753.OF,20201028,601633.SH,20200930,4122272.0,215600.0,5.76,0.0
001753.OF,20201028,688390.SH,20200930,4085138.4,26648.0,5.71,0.13
001753.OF,20201028,002459.SZ,20200930,3605756.0,101800.0,5.04,0.03
001753.OF,20200721,002027.SZ,20200630,5436320.0,976000.0,7.07,0.01
001753.OF,20200721,002384.SZ,20200630,5358055.0,178900.0,6.97,0.01
001753.OF,20200721,000977.SZ,20200630,5302777.92,135344.0,6.9,0.01
001753.OF,20200721,601636.SH,20200630,5048576.0,852800.0,6.57,0.03
001753.OF,20200721,300136.SZ,20200630,4554418.0,85900.0,5.93,0.01
001753.OF,20200721,300196.SZ,20200630,4485920.0,424000.0,5.84,0.17
001753.OF,20200721,300207.SZ,20200630,4376597.4,231566.0,5.69,0.02
001753.OF,20200721,000625.SZ,20200630,4310471.0,391861.0,5.61,0.01
001753.OF,20200721,300438.SZ,20200630,4276995.0,245100.0,5.56,0.08
001753.OF,20200721,300769.SZ,20200630,4276929.6,43920.0,5.56,0.1
001753.OF,20200829,300577.SZ,20200630,2589120.0,96000.0,3.37,0.09
001753.OF,20200829,002918.SZ,20200630,2485850.01,83111.0,3.23,0.06
001753.OF,20200829,600699.SH,20200630,1302407.0,54700.0,1.69,0.0
001753.OF,20200829,600745.SH,20200630,944625.0,7500.0,1.23,0.0
001753.OF,20200829,000961.SZ,20200630,162870.0,18300.0,0.21,0.0
001753.OF,20200829,300751.SZ,20200630,29696.0,100.0,0.04,0.0
001753.OF,20200829,002773.SZ,20200630,22816.0,460.0,0.03,0.0
001753.OF,20200829,600009.SH,20200630,14414.0,200.0,0.02,0.0
001753.OF,20200829,603489.SH,20200630,14099.0,100.0,0.02,0.0
001753.OF,20200829,603881.SH,20200630,10807.0,100.0,0.01,0.0
001753.OF,20200829,300014.SZ,20200630,9091.5,190.0,0.01,0.0
001753.OF,20200829,300633.SZ,20200630,7057.7,178.0,0.01,0.0
001753.OF,20200829,000333.SZ,20200630,5979.0,100.0,0.01,0.0
001753.OF,20200829,603486.SH,20200630,5437.8,180.0,0.01,0.0
001753.OF,20200829,000895.SZ,20200630,4609.0,100.0,0.01,0.0
001753.OF,20200829,002507.SZ,20200630,3601.0,100.0,0.0,0.0
001753.OF,20200829,600887.SH,20200630,3113.0,100.0,0.0,0.0
001753.OF,20200829,600305.SH,20200630,2522.8,136.0,0.0,0.0
001753.OF,20200829,300146.SZ,20200630,1969.0,100.0,0.0,0.0
001753.OF,20200829,600258.SH,20200630,1537.0,100.0,0.0,0.0
001753.OF,20200829,600030.SH,20200630,4120399.0,170900.0,5.36,0.0
001753.OF,20200829,002043.SZ,20200630,3942992.5,462250.0,5.13,0.06
001753.OF,20200829,002572.SZ,20200630,3560241.0,147300.0,4.63,0.02
001753.OF,20200829,603986.SH,20200630,3538650.0,15000.0,4.6,0.0
001753.OF,20200829,002798.SZ,20200630,3227518.0,99400.0,4.2,0.05
001753.OF,20200829,000100.SZ,20200630,2620120.0,422600.0,3.41,0.0
001753.OF,20200829,300450.SZ,20200630,804054.0,17400.0,1.05,0.0
001753.OF,20200421,000977.SZ,20200331,5752004.72,148324.0,8.63,0.01
001753.OF,20200421,000625.SZ,20200331,4177629.38,394861.0,6.27,0.01
001753.OF,20200421,300577.SZ,20200331,4137096.0,154600.0,6.21,0.15
001753.OF,20200421,300633.SZ,20200331,3550234.0,136600.0,5.33,0.07
001753.OF,20200421,000895.SZ,20200331,3260445.9,82963.0,4.89,0.01
001753.OF,20200421,002594.SZ,20200331,2830584.0,47200.0,4.25,0.0
001753.OF,20200421,300383.SZ,20200331,2823740.0,118000.0,4.24,0.01
001753.OF,20200421,002507.SZ,20200331,2693516.0,85400.0,4.04,0.01
001753.OF,20200421,002624.SZ,20200331,2681820.0,56400.0,4.02,0.0
001753.OF,20200421,002035.SZ,20200331,2669733.0,240300.0,4.01,0.03
001753.OF,20200121,000625.SZ,20191231,5012994.0,499800.0,7.68,0.01
001753.OF,20200121,000651.SZ,20191231,3269359.74,49853.0,5.01,0.0
001753.OF,20200121,000961.SZ,20191231,3559570.0,337400.0,5.45,0.01
001753.OF,20200121,000977.SZ,20191231,3371200.0,112000.0,5.16,0.01
001753.OF,20200121,002008.SZ,20191231,4178960.0,104474.0,6.4,0.01
001753.OF,20200121,002035.SZ,20191231,2857118.0,212900.0,4.38,0.03
001753.OF,20200121,601688.SH,20191231,2821059.0,138900.0,4.32,0.0
001753.OF,20200121,002773.SZ,20191231,4190919.2,113360.0,6.42,0.02
001753.OF,20200121,300577.SZ,20191231,5712960.0,162300.0,8.75,0.18
001753.OF,20200121,300633.SZ,20191231,3439210.0,143900.0,5.27,0.07
001753.OF,20200331,002384.SZ,20191231,2815040.0,121600.0,4.31,0.01
001753.OF,20200331,600837.SH,20191231,2795168.0,180800.0,4.28,0.0
001753.OF,20200331,601066.SH,20191231,2742080.0,90200.0,4.2,0.01
001753.OF,20200331,601098.SH,20191231,2741424.0,229600.0,4.2,0.01
001753.OF,20200331,300115.SZ,20191231,2688069.0,151100.0,4.12,0.02
001753.OF,20200331,300088.SZ,20191231,2587013.0,251900.0,3.96,0.01
001753.OF,20200331,000892.SZ,20191231,2537565.0,506500.0,3.89,0.09
001753.OF,20200331,002601.SZ,20191231,2285415.0,148500.0,3.5,0.01
001753.OF,20200331,002402.SZ,20191231,2134743.0,165100.0,3.27,0.02
001753.OF,20200331,002815.SZ,20191231,1855217.0,107300.0,2.84,0.03
001753.OF,20200331,600885.SH,20191231,1705275.0,49500.0,2.61,0.01
001753.OF,20200121,300577.SZ,20191231,5712960.0,162300.0,8.75,0.16
001753.OF,20191023,000002.SZ,20190930,3245270.0,125300.0,5.3,0.0
001753.OF,20191023,000625.SZ,20190930,2679456.0,361600.0,4.37,0.01
001753.OF,20191023,000651.SZ,20190930,2856576.9,49853.0,4.66,0.0
001753.OF,20191023,600201.SH,20190930,3145629.0,166700.0,5.14,0.01
001753.OF,20191023,600438.SH,20190930,3113656.0,244400.0,5.08,0.01
001753.OF,20191023,002008.SZ,20190930,3770930.7,106074.0,6.16,0.01
001753.OF,20191023,601012.SH,20190930,2822872.6,107620.0,4.61,0.0
001753.OF,20191023,002677.SZ,20190930,3253536.0,252800.0,5.31,0.08
001753.OF,20191023,603566.SH,20190930,2702925.0,146500.0,4.41,0.05
001753.OF,20191023,300577.SZ,20190930,5193600.0,162300.0,8.48,0.25
001753.OF,20190717,600570.SH,20190630,2693288.0,39520.0,4.56,0.0
001753.OF,20190717,002024.SZ,20190630,3998484.0,348300.0,6.77,0.0
001753.OF,20190717,002384.SZ,20190630,3511370.0,241000.0,5.95,0.0
001753.OF,20190717,601012.SH,20190630,2836059.2,122720.0,4.8,0.0
001753.OF,20190717,002449.SZ,20190630,4440035.2,334340.0,7.52,0.0
001753.OF,20190717,300146.SZ,20190630,2741220.0,141300.0,4.64,0.0
001753.OF,20190717,002773.SZ,20190630,2833095.2,86060.0,4.8,0.0
001753.OF,20190717,300577.SZ,20190630,5717829.0,162300.0,9.68,0.0
001753.OF,20190717,300601.SZ,20190630,3344250.0,63700.0,5.66,0.0
001753.OF,20190717,300498.SZ,20190630,2642882.0,73700.0,4.48,0.0
001753.OF,20190717,002384.SZ,20190630,3511370.0,241000.0,5.95,0.02
001753.OF,20190828,603118.SH,20190630,2476494.4,267440.0,4.19,0.03
001753.OF,20190828,002422.SZ,20190630,2226777.0,74900.0,3.77,0.01
001753.OF,20190828,000977.SZ,20190630,2020942.0,84700.0,3.42,0.01
001753.OF,20190828,603289.SH,20190630,1922220.0,217200.0,3.25,0.16
001753.OF,20190828,002463.SZ,20190630,1879560.0,138000.0,3.18,0.01
001753.OF,20190828,000625.SZ,20190630,1790763.0,270100.0,3.03,0.01
001753.OF,20190828,002841.SZ,20190630,1767228.0,22800.0,2.99,0.03
001753.OF,20190828,002146.SZ,20190630,1741845.0,185500.0,2.95,0.0
001753.OF,20190828,002916.SZ,20190630,1665372.8,16340.0,2.82,0.02
001753.OF,20190828,002853.SZ,20190630,1623664.0,87200.0,2.75,0.17
001753.OF,20190828,000651.SZ,20190630,1306415.0,23753.0,2.21,0.0
001753.OF,20190828,002084.SZ,20190630,725582.0,153400.0,1.23,0.03
001753.OF,20190828,002677.SZ,20190630,643524.0,48900.0,1.09,0.02
001753.OF,20190828,600438.SH,20190630,639730.0,45500.0,1.08,0.0
001753.OF,20190828,002027.SZ,20190630,632684.0,119600.0,1.07,0.0
001753.OF,20190828,300037.SZ,20190630,604360.0,29000.0,1.02,0.01
001753.OF,20190828,300571.SZ,20190630,473670.0,11400.0,0.8,0.02
001753.OF,20190828,002250.SZ,20190630,74303.0,6700.0,0.13,0.0
001753.OF,20190828,603444.SH,20190630,20996.0,100.0,0.04,0.0
001753.OF,20190828,300747.SZ,20190630,14001.0,100.0,0.02,0.0
001753.OF,20190828,000858.SZ,20190630,11795.0,100.0,0.02,0.0
001753.OF,20190828,603833.SH,20190630,10762.0,100.0,0.02,0.0
001753.OF,20190828,002714.SZ,20190630,5879.0,100.0,0.01,0.0
001753.OF,20190828,603517.SH,20190630,5447.4,140.0,0.01,0.0
001753.OF,20190828,300122.SZ,20190630,4310.0,100.0,0.01,0.0
001753.OF,20190828,002311.SZ,20190630,3090.0,100.0,0.01,0.0
001753.OF,20190828,000895.SZ,20190630,2489.0,100.0,0.0,0.0
001753.OF,20190828,603313.SH,20190630,2247.7,130.0,0.0,0.0
001753.OF,20190828,600004.SH,20190630,1820.0,100.0,0.0,0.0
001753.OF,20190828,300383.SZ,20190630,1677.0,100.0,0.0,0.0
001753.OF,20190419,600030.SH,20190331,2782794.0,112300.0,4.39,0.0
001753.OF,20190419,002024.SZ,20190331,5006195.0,398900.0,7.89,0.0
001753.OF,20190419,002146.SZ,20190331,2854125.0,253700.0,4.5,0.0
001753.OF,20190419,002250.SZ,20190331,3472827.4,335215.0,5.47,0.0
001753.OF,20190419,002449.SZ,20190331,4801122.4,334340.0,7.57,0.0
001753.OF,20190419,300122.SZ,20190331,3714970.0,72700.0,5.85,0.0
001753.OF,20190419,002773.SZ,20190331,4292556.0,84300.0,6.76,0.0
001753.OF,20190419,603118.SH,20190331,3000993.0,309700.0,4.73,0.0
001753.OF,20190419,300577.SZ,20190331,5399642.0,159800.0,8.51,0.0
001753.OF,20190419,300601.SZ,20190331,5097330.0,89900.0,8.03,0.0
001753.OF,20190119,002024.SZ,20181231,5841050.0,593000.0,11.19,0.01
001753.OF,20190119,300122.SZ,20181231,4620192.0,119200.0,8.85,0.01
